INSTNM,ADDR,CITY,STABBR,ZIP,CHFNM,CHFTITLE,GENTELE,WEBADDR,APPLURL,LONGITUD,LATITUDE
Keiser University-Ft Lauderdale,1500 NW 49th St.,Fort Lauderdale,FL,33309,Dr. Arthur Keiser,Chancellor,9547764476,www.keiseruniversity.edu, ,-80.163959,26.185869
Heritage Institute-Ft Myers,"6630 Orion Drive, Suite 200",Fort Myers,FL,33912,Eva Hutson,School Director,2399365822,heritage-education.com, ,-81.842475,26.540884
La Belle Beauty School,1495 West 49 Street,Hialeah,FL,33012,Linda  Balboa,C.A.,3055580562,labellebeauty.net, ,-80.312711,25.86695
Florida Gateway College,Highway 90 East,Lake City,FL,32025-2007,Charles W Hall,President,3867521822,https://www.fgc.edu/,https://sspro01.fgc.edu/PROD/twbkwbis.P_GenMenu?name=homepage,-82.569667,30.174307
Lake Technical Center,2001 Kurt Street,Eustis,FL,32726,Diane Culpepper,Director,3.52589E+13,www.laketech.org,https://www.laketechdata.org/Apply/Login.aspx,-81.690874,28.833446
Lake-Sumter State College,9501 US Hwy 441,Leesburg,FL,34788-8751,Dr. Charles R. Mojock,President,3527873747,www.lssc.edu, ,-81.797731,28.830237
Fort Myers Institute of Technology,3800 Michigan Ave,Fort Myers,FL,33916-2204,William B. McCormick,Director,2.39334E+12,www.fortmyerstech.edu, ,-81.832974,26.64855
Lively Technical Center,500 N Appleyard Dr,Tallahassee,FL,32304-2895,Woody Hildebrandt,Principal,8504877555,www.livelytech.com, ,-84.339057,30.448534
Lindsey Hopkins Technical Education Center,750 NW 20 Street,Miami,FL,33127,Nyce Daniel,Principal,3.05325E+13,lindsey.dadeschools.net, ,-80.208154,25.794676
Loraines Academy Inc,1012 58th St N,Saint Petersburg,FL,33710,Nancy B Fordham,Administrator,7.27347E+12,www.lorainesacademy.edu/,www.lorainesacademy.edu/,-82.711151,27.781266
Luther Rice University & Seminary,3038 Evans Mill Rd,Lithonia,GA,30038-9869,Dr. James Flanagan,President,7704841204,www.LRU.edu,www.LRU.edu/Forms/ApplicationNew.aspx?,-84.123648,33.697984
State College of Florida-Manatee-Sarasota,5840 26th St W,Bradenton,FL,34207,Dr. Carol Probstfeld,President,9417525000,www.scf.edu,www.scf.edu/StudentServices/EducationalRecords/Admissions/FirstTimeinCollege/default.asp,-82.591739,27.436066
Manatee Technical Institute,6305 State Rd 70 East,Bradenton,FL,34203,Doug Wagner,Director,9.41752E+13,manateetech.edu/, ,-82.480488,27.446198
Manhattan Hairstyling Academy,4315 S Manhattan Ave,Tampa,FL,33611,Robert E Valdez,Chief Executive Director,8132580505,www.manhattanhairstylingacademy.com, ,-82.518444,27.902454
Traviss Career Center,3225 Winter Lake Rd,Lakeland,FL,33803,Wayne Dickens,Director,8634992700,www.traviss.edu, ,-81.893503,27.99579
